Reading records: 247ms
Depth 14, Axis 0: lon=-87.534286, lat=37.996015
Depth 13, Axis 1: lon=-84.729118, lat=37.823774
Depth 10, Axis 0: lon=-87.931227, lat=43.058029
Depth 11, Axis 1: lon=-89.451322, lat=39.738783
Depth 12, Axis 0: lon=-94.932463, lat=39.325658
Depth 13, Axis 1: lon=-95.697182, lat=39.036553
Depth 14, Axis 0: lon=-95.279418, lat=38.973652
Depth 13, Axis 1: lon=-94.547155, lat=39.092322
Depth 12, Axis 0: lon=-93.151413, lat=41.939513
Depth 13, Axis 1: lon=-93.616329, lat=41.569034
Depth 14, Axis 0: lon=-96.024965, lat=41.291823
Depth 13, Axis 1: lon=-89.706807, lat=39.763915
Depth 11, Axis 1: lon=-87.354116, lat=41.587659
Depth 12, Axis 0: lon=-84.513463, lat=39.136612
Depth 13, Axis 1: lon=-85.116202, lat=41.082997
Depth 14, Axis 0: lon=-86.173451, lat=39.762530
Depth 13, Axis 1: lon=-84.198789, lat=39.779440
Depth 12, Axis 0: lon=-87.671733, lat=41.833450
Depth 13, Axis 1: lon=-87.690815, lat=42.045373
Depth 13, Axis 1: lon=-84.553061, lat=42.708721
Depth 7, Axis 1: lon=-77.454517, lat=25.066143
